unit,section,tube_number,year,inspected_at,initial_thickness,measured_thickness,min_allowable,operating_temp,operating_pressure,creep_pct,status
UNIT 3A,Furnace Bottom Slope,1,2021,2021-06-15,7.6,7.48,4.6,388,164.6,5.58,Safe
UNIT 3A,Furnace Bottom Slope,1,2022,2022-06-15,7.6,7.45,4.6,388,164.6,8.5,Safe
UNIT 3A,Furnace Bottom Slope,1,2023,2023-06-15,7.6,7.39,4.6,388,164.6,11.15,Safe
UNIT 3A,Furnace Bottom Slope,1,2024,2024-06-15,7.6,7.31,4.6,388,164.6,14.18,Safe
UNIT 3A,Furnace Bottom Slope,1,2025,2025-06-15,7.6,7.27,4.6,388,164.6,17.13,Safe
UNIT 3A,Furnace Bottom Slope,2,2021,2021-06-15,7.6,6.93,4.6,383,162.4,33.02,Safe
UNIT 3A,Furnace Bottom Slope,2,2022,2022-06-15,7.6,6.73,4.6,383,162.4,46.9,Watch
UNIT 3A,Furnace Bottom Slope,2,2023,2023-06-15,7.6,6.25,4.6,383,162.4,61.6,Watch
UNIT 3A,Furnace Bottom Slope,2,2024,2024-06-15,7.6,6.27,4.6,383,162.4,75.56,Watch
UNIT 3A,Furnace Bottom Slope,2,2025,2025-06-15,7.6,6.12,4.6,383,162.4,88.31,Critical
UNIT 3A,Furnace Bottom Slope,3,2021,2021-06-15,7.6,6.78,4.6,395,154.9,43.92,Watch
UNIT 3A,Furnace Bottom Slope,3,2022,2022-06-15,7.6,6.58,4.6,395,154.9,57.57,Watch
UNIT 3A,Furnace Bottom Slope,3,2023,2023-06-15,7.6,6.25,4.6,395,154.9,69.82,Watch
UNIT 3A,Furnace Bottom Slope,3,2024,2024-06-15,7.6,5.91,4.6,395,154.9,82.48,Critical
UNIT 3A,Furnace Bottom Slope,3,2025,2025-06-15,7.6,5.54,4.6,395,154.9,96,Critical
UNIT 3A,Furnace Bottom Slope,4,2021,2021-06-15,7.6,7.06,4.6,419,155.8,29.66,Safe
UNIT 3A,Furnace Bottom Slope,4,2022,2022-06-15,7.6,6.91,4.6,419,155.8,40.02,Watch
UNIT 3A,Furnace Bottom Slope,4,2023,2023-06-15,7.6,6.79,4.6,419,155.8,48.97,Watch
UNIT 3A,Furnace Bottom Slope,4,2024,2024-06-15,7.6,6.38,4.6,419,155.8,59.64,Watch
UNIT 3A,Furnace Bottom Slope,4,2025,2025-06-15,7.6,6.12,4.6,419,155.8,70.08,Watch
UNIT 3A,Furnace Bottom Slope,5,2021,2021-06-15,7.6,7.58,4.6,398,157.1,0.92,Safe
UNIT 3A,Furnace Bottom Slope,5,2022,2022-06-15,7.6,7.56,4.6,398,157.1,2.11,Safe
UNIT 3A,Furnace Bottom Slope,5,2023,2023-06-15,7.6,7.54,4.6,398,157.1,3.24,Safe
UNIT 3A,Furnace Bottom Slope,5,2024,2024-06-15,7.6,7.53,4.6,398,157.1,4.28,Safe
UNIT 3A,Furnace Bottom Slope,5,2025,2025-06-15,7.6,7.5,4.6,398,157.1,5.37,Safe
UNIT 3A,Furnace Bottom Slope,6,2021,2021-06-15,7.6,7.59,4.6,407,154.2,0.47,Safe
UNIT 3A,Furnace Bottom Slope,6,2022,2022-06-15,7.6,7.56,4.6,407,154.2,1.84,Safe
UNIT 3A,Furnace Bottom Slope,6,2023,2023-06-15,7.6,7.53,4.6,407,154.2,3.27,Safe
UNIT 3A,Furnace Bottom Slope,6,2024,2024-06-15,7.6,7.5,4.6,407,154.2,4.55,Safe
UNIT 3A,Furnace Bottom Slope,6,2025,2025-06-15,7.6,7.5,4.6,407,154.2,5.73,Safe
UNIT 3A,Furnace Bottom Slope,7,2021,2021-06-15,7.6,6.91,4.6,409,157.5,39.39,Safe
UNIT 3A,Furnace Bottom Slope,7,2022,2022-06-15,7.6,6.56,4.6,409,157.5,54.27,Watch
UNIT 3A,Furnace Bottom Slope,7,2023,2023-06-15,7.6,6.36,4.6,409,157.5,67.83,Watch
UNIT 3A,Furnace Bottom Slope,7,2024,2024-06-15,7.6,6.06,4.6,409,157.5,82.44,Critical
